Iter,Time,Reward
1,0.000002,-0.529790
1,0.000667,-1.205030
1,0.001032,-1.689141
1,0.001327,-2.487266
1,0.001575,-2.240792
1,0.001804,-1.358645
1,0.002110,-1.378642
1,0.002521,-1.736584
1,0.002993,-1.686628
1,0.003442,-2.007872
1,0.003883,-2.049297
1,0.004323,-2.555541
1,0.004747,-2.273925
1,0.005148,-2.288024
1,0.005576,-2.180365
1,0.005962,-2.518474
1,0.006346,-2.655217
1,0.006738,-2.667772
1,0.007162,-2.735141
1,0.007589,-2.429258
1,0.008001,-2.449679
1,0.008399,-1.705604
1,0.008806,-2.305929
1,0.009219,-2.262399
1,0.009613,-2.267394
1,0.009976,-1.968234
1,0.010361,-2.610669
1,0.010771,-2.624656
1,0.011153,-2.681332
1,0.011534,-2.678707
1,0.011978,-2.708275
1,0.012413,-2.438285
1,0.012862,-1.954649
1,0.013288,-2.525132
1,0.013701,-2.769223
1,0.014148,-1.687915
1,0.014584,-1.603208
1,0.014967,-0.954413
1,0.015352,-0.982878
1,0.015734,-1.503636
1,0.016127,-1.181066
1,0.016546,-1.270842
1,0.016944,-1.489887
1,0.017348,-0.988699
1,0.017757,-0.989387
1,0.018210,-1.361577
1,0.018676,-1.040515
1,0.019123,-0.320202
1,0.019546,0.066818
1,0.019999,0.215115
1,0.020423,0.319743
1,0.020833,0.832188
1,0.021246,0.750338
1,0.021648,1.536490
1,0.022078,1.358926
1,0.022482,1.290222
1,0.022824,2.008050
1,0.023117,3.432728
1,0.023479,3.272887
1,0.023722,3.764422
1,0.024012,4.321265
1,0.024237,5.079955
1,0.024457,5.033789
1,0.024678,5.445067
1,0.024895,5.997616
1,0.025113,6.696293
1,0.025474,6.661025
1,0.025882,7.182507
1,0.026290,7.380562
1,0.026697,7.386467
1,0.027118,7.337425
1,0.027558,8.149333
1,0.028020,8.074200
1,0.028435,9.276185
1,0.028861,10.147900
1,0.029259,10.110247
1,0.029642,10.054951
1,0.029873,10.151115
1,0.030096,10.906031
1,0.030320,11.038608
1,0.030622,12.280611
1,0.030995,12.355430
1,0.031411,12.871214
1,0.031832,12.861511
1,0.032220,13.856572
1,0.032591,14.312981
1,0.032979,14.306600
1,0.033349,15.260204
1,0.033714,15.859503
1,0.034103,16.009994
1,0.034470,16.046456
1,0.034841,17.030053
1,0.035224,17.192229
1,0.035618,18.047842
1,0.036066,18.068626
1,0.036458,18.067797
1,0.036701,18.376174
1,0.036973,18.356337
1,0.037250,18.353000
1,0.037486,18.699868
1,0.037709,19.363327
1,0.037928,19.920278
1,0.038305,20.039184
1,0.038590,20.186120
1,0.038812,20.221742
1,0.039038,20.070870
1,0.039326,20.766497
1,0.039546,21.045547
1,0.039762,21.356549
1,0.040114,21.669672
1,0.040396,21.581962
1,0.040614,22.392302
1,0.040830,22.445789
1,0.041046,22.251944
1,0.041350,23.283641
1,0.041571,24.493665
1,0.041788,25.349708
1,0.042004,26.673825
1,0.042226,27.704121
1,0.042512,28.221097
1,0.042729,28.453677
1,0.042945,28.452596
1,0.043159,28.882300
1,0.043461,29.395246
1,0.043683,29.696387
1,0.043955,29.966886
1,0.044179,30.518616
1,0.044441,30.549264
1,0.044848,32.746456
1,0.045098,32.763135
1,0.045324,34.146179
1,0.045640,34.455182
1,0.045866,34.872346
1,0.046094,34.605221
1,0.046311,34.813224
1,0.046571,35.349665
1,0.046861,37.001749
1,0.047165,36.895610
1,0.047391,38.178494
1,0.047661,38.499234
1,0.048059,38.459804
1,0.048378,40.233550
1,0.048603,39.826779
1,0.048894,41.156256
1,0.049115,40.843978
1,0.049335,41.345613
1,0.049552,41.496380
1,0.049842,42.305602
1,0.050065,41.819161
1,0.050282,42.209342
1,0.050498,42.454191
1,0.050714,42.126554
1,0.050993,41.591658
1,0.051212,41.700129
1,0.051438,42.945356
1,0.051654,42.834648
1,0.051921,42.955987
1,0.052174,43.861655
1,0.052461,43.439358
1,0.052738,42.903042
1,0.053043,43.180244
1,0.053460,42.502629
1,0.053874,41.801354
1,0.054164,41.240778
1,0.054406,41.199397
1,0.054627,42.380604
1,0.054846,42.278944
1,0.055082,44.486629
1,0.055300,44.135717
1,0.055517,43.387205
1,0.055732,42.998206
1,0.056064,42.878110
1,0.056313,42.408299
1,0.056529,43.171953
1,0.056746,43.630449
1,0.056962,42.847387
1,0.057194,43.852726
1,0.057412,44.895910
1,0.057627,44.475320
1,0.057842,43.975375
1,0.058057,42.946801
1,0.058286,42.798001
1,0.058503,43.775045
1,0.058736,42.684392
1,0.058953,42.798494
1,0.059166,42.419696
1,0.059400,41.262164
1,0.059617,40.300514
1,0.059846,40.200403
1,0.060066,39.343286
1,0.060279,38.185384
1,0.060514,37.758033
1,0.060900,37.006912
1,0.061147,37.555240
1,0.061372,37.148458
1,0.061627,35.778417
1,0.061858,34.382666
1,0.062078,33.763198
1,0.062298,37.400336
1,0.062546,35.937685
1,0.062773,35.599286
1,0.063047,35.122652
1,0.063275,35.248773
1,0.063495,33.702273
1,0.063843,32.181851
1,0.064080,32.197888
1,0.064301,32.516889
1,0.064518,31.953678
1,0.064754,30.381790
1,0.065020,31.215646
1,0.065239,29.481690
1,0.065456,27.774564
1,0.065670,28.564610
1,0.065914,26.829116
1,0.066132,25.581044
1,0.066346,26.103980
1,0.066560,25.629722
1,0.066791,25.945679
1,0.067012,25.162174
1,0.067225,23.372034
1,0.067448,22.682800
1,0.067662,23.275080
1,0.067907,22.535939
1,0.068124,20.738850
1,0.068340,18.884722
1,0.068552,18.445586
1,0.068767,16.320276
1,0.069055,15.686074
1,0.069444,14.389046
1,0.069693,13.569793
1,0.069916,12.913779
1,0.070158,15.500385
1,0.070378,15.386571
1,0.070595,15.065870
1,0.070811,14.946799
1,0.071043,14.097827
1,0.071264,13.523436
1,0.071479,12.666345
1,0.071693,11.457790
1,0.072003,10.794094
1,0.072262,10.344620
1,0.072478,10.344620
2,0.072671,0.000000
2,0.073001,-0.292220
2,0.073245,-0.344876
2,0.073466,-0.347708
2,0.073683,-0.217505
2,0.073901,-0.190923
2,0.074116,-0.225506
2,0.074351,-0.676675
2,0.074568,-0.298058
2,0.074783,-0.850451
2,0.074997,-0.805514
2,0.075212,0.021830
2,0.075445,0.296152
2,0.075663,-0.382639
2,0.075916,-0.454375
2,0.076136,-0.584227
2,0.076376,0.004092
2,0.076596,1.283983
2,0.076813,0.201534
2,0.077030,0.748472
2,0.077246,0.735561
2,0.077480,1.200589
2,0.077828,0.874137
2,0.078080,0.645541
2,0.078302,0.369645
2,0.078556,0.807187
2,0.078782,1.232560
2,0.079000,1.216285
2,0.079218,2.002818
2,0.079437,3.198373
2,0.079671,3.321725
2,0.079906,3.872896
2,0.080126,4.349012
2,0.080343,4.089183
2,0.080558,4.706585
2,0.080797,5.093772
2,0.081012,5.535493
2,0.081228,5.890548
2,0.081441,5.779044
2,0.081666,5.786552
2,0.081889,5.693441
2,0.082114,6.625603
2,0.082330,6.473390
2,0.082546,6.069862
2,0.082777,6.669834
2,0.082994,6.412553
2,0.083208,7.132800
2,0.083422,7.108768
2,0.083637,7.913337
2,0.083896,8.199931
2,0.084114,9.285426
2,0.084330,9.703628
2,0.084544,10.312277
2,0.084758,10.276463
2,0.084989,10.054188
2,0.085215,9.813029
2,0.085433,9.771511
2,0.085651,11.309040
2,0.085865,11.715262
2,0.086203,11.966427
2,0.086530,11.924003
2,0.086762,12.898337
2,0.086996,12.849209
2,0.087221,12.739699
2,0.087454,13.488074
2,0.087675,13.430031
2,0.087970,13.260796
2,0.088239,13.164153
2,0.088457,13.063284
2,0.088675,12.998308
2,0.088889,13.637321
2,0.089113,14.671521
2,0.089340,14.589913
2,0.089554,15.574522
2,0.089769,15.743022
2,0.089981,15.676752
2,0.090211,15.593254
2,0.090429,15.514678
2,0.090643,15.616895
2,0.090865,15.514130
2,0.091082,16.131428
2,0.091317,17.213391
2,0.091536,18.141067
2,0.091752,18.821205
2,0.091984,19.008462
2,0.092202,19.008980
2,0.092466,19.058870
2,0.092692,19.304704
2,0.092914,19.228906
2,0.093133,19.110057
2,0.093350,19.019508
2,0.093588,19.414476
2,0.093805,20.854446
2,0.094020,22.539666
2,0.094235,22.959914
2,0.094524,23.637809
2,0.094748,24.139022
2,0.094963,24.279638
2,0.095206,24.858704
2,0.095427,24.643582
2,0.095696,24.960689
2,0.095949,25.354896
2,0.096171,25.439412
2,0.096391,26.074218
2,0.096677,26.072578
2,0.096904,26.412212
2,0.097124,26.256241
2,0.097342,26.051585
2,0.097558,27.239561
2,0.097848,27.389399
2,0.098066,27.639318
2,0.098282,27.918350
2,0.098499,29.380245
2,0.098781,31.197550
2,0.099010,31.797244
2,0.099226,31.447926
2,0.099442,31.380082
2,0.099666,31.830943
2,0.099951,31.748478
2,0.100170,32.365771
2,0.100386,32.522402
2,0.100603,32.136041
2,0.100854,31.735481
2,0.101103,32.667951
2,0.101321,33.113141
2,0.101536,33.031046
2,0.101750,33.978693
2,0.102038,33.496872
2,0.102257,33.044110
2,0.102474,32.546139
2,0.102687,34.024647
2,0.103045,34.894796
2,0.103272,36.289344
2,0.103488,36.503124
2,0.103703,37.982891
2,0.104024,38.158460
2,0.104285,37.761606
2,0.104504,37.583371
2,0.104742,36.941786
2,0.104960,36.302731
2,0.105244,35.881169
2,0.105472,35.184428
2,0.105694,35.234457
2,0.105914,34.520246
2,0.106159,34.508997
2,0.106418,33.922800
2,0.106637,36.247505
2,0.106853,36.683535
2,0.107071,37.292741
2,0.107357,36.497679
2,0.107744,35.636080
2,0.108177,35.150397
2,0.108482,34.252284
2,0.108706,33.936346
2,0.108925,35.094976
2,0.109143,34.524752
2,0.109419,33.879833
2,0.109645,34.228857
2,0.109863,33.505023
2,0.110079,34.612759
2,0.110296,34.292343
2,0.110568,35.061646
2,0.110786,34.308148
2,0.111002,34.981331
2,0.111279,33.829506
2,0.111623,34.423845
2,0.111863,34.687722
2,0.112094,34.266104
2,0.112322,34.482897
2,0.112588,33.742559
2,0.112815,34.919816
2,0.113049,36.430555
2,0.113267,36.679008
2,0.113483,36.245304
2,0.113824,37.130215
2,0.114086,38.164427
2,0.114302,37.213943
2,0.114519,36.701071
2,0.114845,36.217494
2,0.115117,36.662680
2,0.115334,35.226428
2,0.115548,34.643557
2,0.115850,34.164235
2,0.116148,33.817430
2,0.116368,34.083251
2,0.116583,33.051000
2,0.116841,34.669078
2,0.117172,33.285910
2,0.117392,31.580197
2,0.117606,30.637400
2,0.117831,31.023459
2,0.118196,29.238207
2,0.118416,29.838952
2,0.118632,29.603161
2,0.118844,28.944687
2,0.119197,27.329792
2,0.119433,25.805766
2,0.119773,25.113188
2,0.120183,23.999822
2,0.120454,25.418901
2,0.120673,26.342101
2,0.121022,24.934228
2,0.121388,24.156596
2,0.121610,22.267274
2,0.121882,20.174078
2,0.122263,20.028596
2,0.122548,18.121931
2,0.122767,16.458732
2,0.123101,18.589654
2,0.123486,19.045243
2,0.123709,17.377771
2,0.124008,16.274607
2,0.124261,14.756672
2,0.124608,12.855973
2,0.124831,11.679364
2,0.125069,9.529927
2,0.125314,7.240109
2,0.125665,5.083395
2,0.125887,3.759990
2,0.126128,3.619926
2,0.126373,3.619926
3,0.126702,0.000000
3,0.127050,-0.218335
3,0.127294,-0.145570
3,0.127536,-0.968100
3,0.127795,-0.688629
3,0.128204,-1.158342
3,0.128590,-0.988942
3,0.128895,-0.683907
3,0.129119,-0.741958
3,0.129445,-0.262350
3,0.129716,-0.273301
3,0.129956,-0.856677
3,0.130173,-0.443768
3,0.130479,-0.453910
3,0.130755,-0.164592
3,0.130991,-0.092716
3,0.131209,-0.097430
3,0.131443,-0.173668
3,0.131671,-0.250648
3,0.132039,-0.113375
3,0.132260,-0.394453
3,0.132493,-0.618032
3,0.132711,-0.826773
3,0.132946,-0.576647
3,0.133178,-1.438300
3,0.133396,-1.550117
3,0.133628,-1.609486
3,0.133862,-2.133793
3,0.134080,-2.661743
3,0.134315,-1.890392
3,0.134531,-1.860723
3,0.134767,-1.580152
3,0.135095,-0.655814
3,0.135358,-0.669843
3,0.135575,-0.152285
3,0.135935,0.280413
3,0.136159,0.659365
3,0.136416,1.553738
3,0.136637,2.559204
3,0.136999,2.724373
3,0.137223,2.557342
3,0.137572,2.170588
3,0.137947,2.149524
3,0.138331,1.968853
3,0.138620,1.973816
3,0.138867,1.900760
3,0.139261,2.160907
3,0.139551,3.004641
3,0.139774,3.975320
3,0.140152,3.951488
3,0.140523,3.878616
3,0.140747,4.761545
3,0.140995,4.854387
3,0.141325,5.308983
3,0.141558,5.271552
3,0.141785,5.955752
3,0.142004,6.134003
3,0.142361,6.238404
3,0.142584,6.558216
3,0.142821,7.352119
3,0.143038,8.143096
3,0.143389,8.109095
3,0.143650,8.415436
3,0.144044,8.399579
3,0.144435,9.356717
3,0.144818,9.295426
3,0.145230,10.280676
3,0.145630,10.381858
3,0.146008,10.655800
3,0.146383,10.601734
3,0.146674,10.988153
3,0.146911,10.941155
3,0.147133,11.144404
3,0.147349,11.239565
3,0.147643,12.633972
3,0.147909,12.950888
3,0.148149,12.899130
3,0.148367,13.693645
3,0.148625,13.566281
3,0.148871,13.410276
3,0.149104,14.057215
3,0.149321,14.005475
3,0.149536,13.887199
3,0.149822,14.726256
3,0.150056,14.968868
3,0.150284,16.984155
3,0.150501,16.849914
3,0.150759,16.735034
3,0.151001,16.527453
3,0.151234,17.794733
3,0.151452,17.712895
3,0.151670,17.591413
3,0.151949,17.441170
3,0.152170,17.510512
3,0.152408,18.506946
3,0.152642,19.420107
3,0.152924,19.905233
3,0.153335,20.200746
3,0.153560,20.163137
3,0.153825,21.313127
3,0.154121,22.421576
3,0.154365,22.313219
3,0.154588,23.486185
3,0.154804,23.342834
3,0.155090,23.662111
3,0.155309,23.481299
3,0.155541,23.466516
3,0.155757,24.819185
3,0.156106,26.104222
3,0.156337,26.811257
3,0.156575,27.501700
3,0.156796,28.076476
3,0.157013,29.196136
3,0.157280,29.526034
3,0.157505,30.913503
3,0.157735,31.467579
3,0.157952,32.215362
3,0.158216,33.295208
3,0.158444,33.604044
3,0.158748,34.240870
3,0.158973,34.014522
3,0.159203,34.739060
3,0.159467,36.075021
3,0.159772,36.266353
3,0.160042,37.471566
3,0.160282,38.205878
3,0.160541,38.107123
3,0.160782,38.574698
3,0.161003,39.133864
3,0.161220,39.271765
3,0.161511,39.089755
3,0.161762,39.664095
3,0.162190,40.073784
3,0.162601,39.727244
3,0.163008,39.433284
3,0.163414,39.797899
3,0.163828,39.415367
3,0.164251,39.534903
3,0.164657,39.159405
3,0.165063,39.618366
3,0.165466,39.810390
3,0.165868,41.213493
3,0.166269,42.486261
3,0.166670,42.457454
3,0.167073,42.406538
3,0.167474,42.069831
3,0.167893,43.701674
3,0.168307,44.310890
3,0.168711,43.807257
3,0.169119,45.170651
3,0.169521,44.642937
3,0.169898,44.619467
3,0.170276,44.089767
3,0.170501,45.467880
3,0.170718,45.772979
3,0.170933,46.697829
3,0.171256,46.760367
3,0.171500,46.166604
3,0.171715,45.959733
3,0.172036,46.184920
3,0.172400,45.814293
3,0.172620,45.397367
3,0.172838,45.271027
3,0.173054,45.966665
3,0.173370,47.409807
3,0.173622,47.078278
3,0.173838,46.522854
3,0.174053,47.907676
3,0.174325,47.128951
3,0.174613,47.169755
3,0.175020,46.684697
3,0.175427,46.055531
3,0.175851,46.283391
3,0.176259,47.327119
3,0.176663,47.141057
3,0.177067,47.311711
3,0.177491,49.926382
3,0.177906,49.678235
3,0.178286,49.336481
3,0.178658,49.319887
3,0.179027,49.184025
3,0.179396,48.255209
3,0.179765,47.315664
3,0.180150,46.805880
3,0.180519,46.126170
3,0.180886,45.080500
3,0.181250,45.796361
3,0.181614,45.558875
3,0.181977,46.952232
3,0.182339,46.770923
3,0.182702,45.619268
3,0.183064,45.955927
3,0.183428,45.850384
3,0.183790,46.261982
3,0.184171,46.626185
3,0.184545,45.429312
3,0.184911,46.275504
3,0.185274,46.011851
3,0.185637,48.049670
3,0.185996,49.045883
3,0.186288,49.674293
3,0.186515,48.478904
3,0.186738,47.066199
3,0.186968,45.735936
3,0.187188,46.141404
3,0.187405,45.808810
3,0.187720,44.840342
3,0.188004,43.591513
3,0.188225,43.453937
3,0.188446,42.387492
3,0.188679,41.240532
3,0.188896,41.030201
3,0.189112,39.926294
3,0.189327,38.683062
3,0.189541,37.720148
3,0.189755,36.954291
3,0.189969,36.187830
3,0.190202,35.396046
3,0.190421,35.092861
3,0.190637,33.575713
3,0.190853,34.282502
3,0.191066,34.508305
3,0.191280,33.832171
3,0.191494,33.617299
3,0.191708,32.417350
3,0.191941,30.480821
3,0.192159,28.487813
3,0.192374,26.622327
3,0.192589,25.451067
3,0.192803,27.666930
3,0.193016,26.541969
3,0.193228,24.529834
3,0.193440,23.791818
3,0.193652,23.889139
3,0.193863,23.632729
3,0.194084,23.354853
3,0.194418,21.813062
3,0.194701,19.897917
3,0.194927,17.638468
3,0.195148,19.005548
3,0.195400,18.213860
3,0.195621,16.552357
3,0.195870,14.307790
3,0.196093,11.981036
3,0.196314,12.721877
3,0.196532,10.608627
3,0.196774,9.551527
3,0.196998,8.391164
3,0.197216,8.910199
3,0.197432,7.853056
3,0.197648,7.853056
4,0.197845,0.000000
4,0.198186,-0.344662
4,0.198413,-0.293445
4,0.198642,-0.336360
4,0.198863,-1.043769
4,0.199079,-1.407851
4,0.199295,-1.191356
4,0.199517,-1.090507
4,0.199736,-1.703082
4,0.199965,-1.200931
4,0.200182,-0.662633
4,0.200397,-0.220721
4,0.200611,0.259043
