Iter,Time,Reward
1,0.000004,-0.752185
1,0.002650,-0.659996
1,0.002989,-0.531373
1,0.003325,-0.543785
1,0.003844,-0.314736
1,0.004403,-0.412884
1,0.004957,-0.684356
1,0.005501,-0.756362
1,0.006037,-0.763781
1,0.006588,-1.065233
1,0.007126,-0.455594
1,0.007648,-0.771751
1,0.008097,-0.249995
1,0.008610,-0.784129
1,0.009114,-0.513213
1,0.009635,-0.402082
1,0.010130,-0.563907
1,0.010610,-0.871894
1,0.011168,-0.883024
1,0.011769,-1.175664
1,0.012327,-0.461819
1,0.013039,-0.361511
1,0.013404,-0.163392
1,0.013705,-0.363119
1,0.014012,-0.391617
1,0.014295,-0.067845
1,0.014590,-0.089920
1,0.014908,0.412714
1,0.015215,0.454698
1,0.015495,0.383287
1,0.015767,0.674052
1,0.016037,0.046699
1,0.016305,-0.645546
1,0.016570,-0.355475
1,0.016835,-0.401945
1,0.017120,-0.414037
1,0.017387,-1.016036
1,0.017654,-0.987492
1,0.017922,-1.038566
1,0.018187,-0.755637
1,0.018455,-0.261915
1,0.018742,-0.349468
1,0.019012,0.038942
1,0.019278,1.592422
1,0.019542,2.445044
1,0.019807,2.889099
1,0.020072,2.811631
1,0.020338,2.890432
1,0.020603,3.210702
1,0.020919,3.129253
1,0.021195,2.812667
1,0.021467,2.524566
1,0.021747,3.518938
1,0.022015,3.477265
1,0.022279,3.486961
1,0.022546,3.451783
1,0.022811,3.453131
1,0.023226,3.921887
1,0.023530,4.408341
1,0.023806,4.480736
1,0.024077,4.712418
1,0.024345,4.633415
1,0.024614,4.697437
1,0.024880,4.945588
1,0.025175,4.662779
1,0.025442,5.968519
1,0.025718,5.717326
1,0.025988,5.612481
1,0.026254,5.246216
1,0.026519,6.298835
1,0.026793,6.283083
1,0.027059,6.299591
1,0.027327,6.098266
1,0.027595,6.118568
1,0.027862,7.701598
1,0.028126,7.650107
1,0.028392,7.829288
1,0.028656,7.994019
1,0.028976,8.030538
1,0.029275,8.831004
1,0.029545,8.853221
1,0.029815,10.005208
1,0.030081,10.085576
1,0.030479,11.515927
1,0.030932,12.623512
1,0.031389,12.334779
1,0.031831,12.226280
1,0.032376,12.137726
1,0.032928,12.203965
1,0.033257,14.128583
1,0.033544,15.047886
1,0.033818,15.783888
1,0.034094,15.662049
1,0.034377,15.366437
1,0.034736,16.440485
1,0.035040,16.531463
1,0.035313,16.469751
1,0.035584,17.557170
1,0.035852,18.452106
1,0.036119,18.340372
1,0.036385,18.271957
1,0.036649,18.359446
1,0.036936,18.905449
1,0.037225,19.712071
1,0.037503,19.901524
1,0.037771,21.155820
1,0.038035,22.276720
1,0.038299,22.625640
1,0.038561,22.728595
1,0.039035,24.550132
1,0.039495,24.434598
1,0.039953,24.982943
1,0.040399,24.826067
1,0.040871,24.679444
1,0.041390,24.509245
1,0.041685,25.357982
1,0.041961,26.887518
1,0.042236,27.205932
1,0.042504,27.099286
1,0.042771,27.056748
1,0.043036,27.297280
1,0.043301,28.712454
1,0.043563,28.683529
1,0.043828,28.467923
1,0.044091,28.796396
1,0.044354,29.216511
1,0.044616,29.127932
1,0.044880,29.013201
1,0.045189,28.967173
1,0.045488,29.785378
1,0.045758,29.689005
1,0.046025,29.605421
1,0.046292,30.787571
1,0.046566,30.505691
1,0.046832,30.267334
1,0.047100,30.705339
1,0.047468,30.570490
1,0.047750,30.572010
1,0.048019,30.439602
1,0.048286,31.328339
1,0.048553,31.723032
1,0.048818,32.934865
1,0.049171,32.612412
1,0.049450,32.826568
1,0.049723,32.563892
1,0.049997,33.742292
1,0.050262,35.367000
1,0.050532,35.471082
1,0.050797,36.069753
1,0.051063,35.995025
1,0.051523,36.098475
1,0.051813,37.632320
1,0.052085,38.123869
1,0.052355,37.810153
1,0.052634,39.137467
1,0.052925,39.239959
1,0.053199,39.190997
1,0.053465,38.769122
1,0.053728,39.576243
1,0.054000,41.928731
1,0.054296,42.205210
1,0.054564,41.640730
1,0.054827,41.342060
1,0.055089,41.265196
1,0.055351,42.050336
1,0.055613,41.819440
1,0.055876,41.214544
1,0.056151,42.146463
1,0.056416,41.482247
1,0.056682,40.799814
1,0.056969,40.753788
1,0.057238,40.947227
1,0.057502,40.386939
1,0.057765,39.633117
1,0.058027,38.860175
1,0.058290,38.678827
1,0.058553,38.341969
1,0.058814,38.174879
1,0.059075,37.342110
1,0.059336,38.355432
1,0.059596,39.024880
1,0.059856,38.951886
1,0.060116,39.727447
1,0.060376,41.056996
1,0.060637,40.347820
1,0.060920,41.272647
1,0.061188,41.801577
1,0.061451,41.154433
1,0.061713,40.558694
1,0.061973,41.694187
1,0.062233,41.204833
1,0.062494,40.912888
1,0.062757,40.372821
1,0.063021,41.172201
1,0.063283,41.095061
1,0.063546,39.920013
1,0.063823,39.752520
1,0.064109,38.621657
1,0.064376,39.950401
1,0.064641,39.390997
1,0.064928,38.757669
1,0.065199,37.446987
1,0.065464,37.571626
1,0.065730,38.205839
1,0.065996,38.237339
1,0.066275,37.881871
1,0.066545,37.760459
1,0.066811,36.990360
1,0.067075,37.707226
1,0.067465,37.884886
1,0.067746,37.531495
1,0.068016,36.755768
1,0.068285,38.563622
1,0.068548,38.782460
1,0.068813,38.399246
1,0.069105,37.678415
1,0.069373,36.030992
1,0.069646,36.320117
1,0.069910,35.896741
1,0.070172,35.438140
1,0.070435,34.559892
1,0.070697,32.852130
1,0.070961,31.064122
1,0.071223,31.685032
1,0.071486,30.391130
1,0.071750,30.016267
1,0.072023,31.370194
1,0.072287,30.702201
1,0.072551,31.842659
1,0.072816,31.534387
1,0.073118,30.800272
1,0.073389,29.218681
1,0.073653,27.453223
1,0.073916,26.909892
1,0.074181,24.941375
1,0.074444,23.159573
1,0.074707,21.342157
1,0.074972,19.199748
1,0.075237,17.687190
1,0.075501,17.009828
1,0.075800,18.394969
1,0.076075,16.677582
1,0.076337,16.136317
1,0.076598,16.153627
1,0.076863,16.640434
1,0.077162,14.313405
1,0.077427,12.223098
1,0.077693,11.558869
1,0.077958,10.707394
1,0.078230,9.372466
1,0.078543,9.649022
1,0.078874,7.834623
1,0.079406,7.834623
2,0.079706,0.000000
2,0.080213,-1.003324
2,0.080688,-0.898233
2,0.081026,-0.702673
2,0.081309,-0.615240
2,0.081590,-0.867345
2,0.081862,-0.868977
2,0.082134,-1.278491
2,0.082404,-1.298239
2,0.082671,-0.535121
2,0.082939,-0.513725
2,0.083204,-0.524932
2,0.083470,-1.138774
2,0.083736,-1.151018
2,0.084004,-0.919630
2,0.084272,-0.404393
2,0.084549,-0.781733
2,0.084819,-1.560134
2,0.085107,-1.737326
2,0.085374,-1.783630
2,0.085639,-2.005987
2,0.085904,-2.118603
2,0.086168,-2.129753
2,0.086432,-2.510538
2,0.086697,-2.516554
2,0.086961,-2.816264
2,0.087224,-2.350819
2,0.087488,-2.799493
2,0.087754,-2.652301
2,0.088018,-2.642644
2,0.088281,-2.721182
2,0.088544,-2.680718
2,0.088806,-3.038367
2,0.089104,-2.437895
2,0.089375,-1.725299
2,0.089640,-1.413325
2,0.089904,-1.456740
2,0.090166,-1.133980
2,0.090439,-0.163319
2,0.090706,-0.137778
2,0.090986,0.787594
2,0.091253,1.669630
2,0.091520,1.842879
2,0.091889,2.146816
2,0.092171,1.817189
2,0.092441,1.707100
2,0.092710,2.521890
2,0.093005,2.349200
2,0.093278,3.709782
2,0.093549,3.866552
2,0.093817,4.443781
2,0.094082,4.681869
2,0.094350,4.536970
2,0.094614,5.056688
2,0.094879,5.753699
2,0.095156,6.345028
2,0.095424,6.309911
2,0.095696,6.305162
2,0.095964,6.702699
2,0.096229,6.934485
2,0.096495,6.712400
2,0.096759,7.062059
2,0.097049,6.694183
2,0.097350,6.660700
2,0.097616,7.007253
2,0.097879,6.679674
2,0.098144,7.150941
2,0.098409,8.085054
2,0.098682,7.885932
2,0.098947,7.653953
2,0.099216,7.959693
2,0.099483,8.124134
2,0.099758,9.085581
2,0.100023,9.758130
2,0.100291,9.804236
2,0.100556,9.689099
2,0.100822,10.471734
2,0.101117,11.007260
2,0.101387,12.097904
2,0.101656,14.161573
2,0.101921,16.110916
2,0.102186,16.885420
2,0.102452,17.645351
2,0.102715,17.824634
2,0.102978,17.924320
2,0.103241,19.489024
2,0.103503,19.410057
2,0.103768,19.738780
2,0.104032,20.416279
2,0.104295,20.328059
2,0.104559,20.372558
2,0.105020,20.229253
2,0.105397,20.082509
2,0.105669,20.494365
2,0.105941,21.071278
2,0.106208,21.672028
2,0.106475,23.784313
2,0.106738,23.615173
2,0.107002,24.603357
2,0.107265,25.147808
2,0.107530,25.061398
2,0.107802,25.272213
2,0.108068,25.382552
2,0.108346,26.392286
2,0.108613,28.432093
2,0.108876,28.752708
2,0.109190,28.550292
2,0.109465,28.601777
2,0.109732,29.392143
2,0.109997,29.488887
2,0.110265,29.263612
2,0.110530,30.400370
2,0.110795,31.172968
2,0.111069,30.916857
2,0.111332,32.258914
2,0.111595,32.226468
2,0.111858,32.399862
2,0.112121,32.676688
2,0.112386,33.763685
2,0.112648,33.623354
2,0.112936,33.343650
2,0.113206,33.587921
2,0.113471,34.471381
2,0.113735,34.595711
2,0.113999,34.431652
2,0.114262,34.601929
2,0.114525,34.244594
2,0.114788,34.548927
2,0.115059,34.225021
2,0.115321,35.203717
2,0.115595,35.785440
2,0.115866,35.706105
2,0.116134,36.999416
2,0.116399,38.081275
2,0.116664,38.424561
2,0.116956,39.298837
2,0.117229,40.033552
2,0.117496,41.610076
2,0.117763,41.242788
2,0.118028,40.743497
2,0.118302,40.624397
2,0.118569,40.096361
2,0.118835,40.623090
2,0.119101,40.322237
2,0.119363,40.410189
2,0.119628,40.560119
2,0.119892,41.403233
2,0.120155,42.222928
2,0.120420,41.764249
2,0.120684,42.954677
2,0.120974,43.349986
2,0.121240,43.100169
2,0.121504,42.412231
2,0.121767,43.155649
2,0.122032,43.677574
2,0.122297,47.181691
2,0.122561,47.158148
2,0.122836,46.953370
2,0.123124,47.129145
2,0.123397,46.589931
2,0.123663,46.102424
2,0.123928,45.903211
2,0.124189,45.172955
2,0.124451,44.904760
2,0.124714,44.210409
2,0.124999,43.940875
2,0.125306,44.969479
2,0.125579,44.501751
2,0.125845,45.251218
2,0.126144,45.426841
2,0.126409,44.483256
2,0.126674,46.231954
2,0.126939,48.141644
2,0.127205,49.026982
2,0.127469,48.102619
2,0.127732,48.628437
2,0.127997,48.250286
2,0.128260,47.121857
2,0.128524,47.883763
2,0.128787,48.271526
2,0.129117,47.594329
2,0.129393,48.231052
2,0.129660,49.114491
2,0.129927,51.153166
2,0.130192,49.882532
2,0.130456,48.587532
2,0.130718,50.455162
2,0.130983,49.333721
2,0.131246,48.884996
2,0.131510,48.613436
2,0.131772,48.563309
2,0.132035,48.778718
2,0.132297,47.756917
2,0.132573,47.080329
2,0.132838,46.649014
2,0.133138,46.303657
2,0.133405,45.341141
2,0.133671,45.856863
2,0.133933,44.771770
2,0.134198,44.237455
2,0.134464,43.702174
2,0.134728,42.300574
2,0.134999,41.713461
2,0.135268,41.743576
2,0.135535,40.900800
2,0.135801,41.333222
2,0.136066,39.802024
2,0.136332,39.704892
2,0.136606,37.997536
2,0.136873,37.848283
2,0.137160,36.722772
2,0.137426,38.008283
2,0.137692,38.321612
2,0.137955,38.990070
2,0.138220,37.690954
2,0.138483,37.892327
2,0.138747,36.415982
2,0.139011,34.379471
2,0.139275,32.404915
2,0.139539,32.751095
2,0.139802,32.239156
2,0.140064,30.202817
2,0.140323,29.259972
2,0.140586,28.598318
2,0.140858,31.201611
2,0.141137,30.691449
2,0.141402,30.280853
2,0.141664,29.224909
2,0.141926,29.033997
2,0.142198,27.045146
